,Year,EnergyConsumption
348,2365.0,193323643.84519944
349,2366.0,193343005.87012798
350,2367.0,193362279.48197234
351,2368.0,193381465.28493583
352,2369.0,193400563.87772894
353,2370.0,193419575.85363156
354,2371.0,193438501.80055436
355,2372.0,193457342.3010995
356,2373.0,193476097.93262035
357,2374.0,193494769.26728037
358,2375.0,193513356.87211156
359,2376.0,193531861.30907154
360,2377.0,193550283.13510045
361,2378.0,193568622.90217665
362,2379.0,193586881.15737194
363,2380.0,193605058.44290593
364,2381.0,193623155.29619974
365,2382.0,193641172.24992895
366,2383.0,193659109.83207577
367,2384.0,193676968.56598085
368,2385.0,193694748.97039393
369,2386.0,193712451.55952418
370,2387.0,193730076.84308982
371,2388.0,193747625.3263669
372,2389.0,193765097.51023778
373,2390.0,193782493.89123857
374,2391.0,193799814.9616063
375,2392.0,193817061.2093254
376,2393.0,193834233.11817333
377,2394.0,193851331.167766
378,2395.0,193868355.83360234
379,2396.0,193885307.58710843
380,2397.0,193902186.89568096
381,2398.0,193918994.22273016
382,2399.0,193935730.02772233
383,2400.0,193952394.7662216
384,2401.0,193968988.88993132
385,2402.0,193985512.84673488
386,2403.0,194001967.08073592
387,2404.0,194018352.03229827
388,2405.0,194034668.13808504
389,2406.0,194050915.8310976
390,2407.0,194067095.5407138
391,2408.0,194083207.69272572
392,2409.0,194099252.7093772
393,2410.0,194115231.00940058
394,2411.0,194131143.00805312
395,2412.0,194146989.11715314
396,2413.0,194162769.74511528
397,2414.0,194178485.2969859
398,2415.0,194194136.1744775
399,2416.0,194209722.77600297
400,2417.0,194225245.4967096
401,2418.0,194240704.72851217
402,2419.0,194256100.8601262
403,2420.0,194271434.27710038
404,2421.0,194286705.36184877
405,2422.0,194301914.49368265
406,2423.0,194317062.04884192
407,2424.0,194332148.40052602
408,2425.0,194347173.91892472
409,2426.0,194362138.97124827
410,2427.0,194377043.9217575
411,2428.0,194391889.1317931
412,2429.0,194406674.9598051
413,2430.0,194421401.76138154
414,2431.0,194436069.88927704
415,2432.0,194450679.693441
416,2433.0,194465231.5210453
417,2434.0,194479725.71651196
418,2435.0,194494162.62154025
419,2436.0,194508542.5751335
420,2437.0,194522865.91362566
421,2438.0,194537132.97070757
422,2439.0,194551344.07745278
423,2440.0,194565499.5623433
424,2441.0,194579599.75129476
425,2442.0,194593644.96768153
426,2443.0,194607635.53236133
427,2444.0,194621571.7636998
428,2445.0,194635453.97759458
429,2446.0,194649282.48749915
430,2447.0,194663057.60444644
431,2448.0,194676779.6370722
432,2449.0,194690448.891638
433,2450.0,194704065.67205402
434,2451.0,194717630.27990162
435,2452.0,194731143.01445553
436,2453.0,194744604.1727059
437,2454.0,194758014.04938
438,2455.0,194771372.93696395
439,2456.0,194784681.12572363
